SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,SUBDIV_NORMAL_ANNUAL,SUBDIV_NORMAL_MONSOON,CLIMATIC_ZONE,ANNUAL_PDN,MONSOON_PDN,ANNUAL_ZSCORE,MONSOON_ZSCORE,LAG1_ANNUAL,LAG2_ANNUAL,LAG3_ANNUAL,LAG1_MONSOON,ANNUAL_MOMENTUM,ROLL3_MEAN_ANNUAL,ROLL5_MEAN_ANNUAL,ROLL5_STD_ANNUAL,DECADAL_DRIFT,WINTER_PCT,PRE_MONSOON_PCT,MONSOON_CONCENTRATION_PCT,RETREATING_MONSOON_PCT,EARLY_VS_LATE_MONSOON_RATIO,JUNE_ONSET_PDN,IMD_DROUGHT_CATEGORY,IS_DROUGHT_YEAR
ANDAMAN & NICOBAR ISLANDS,1901,49.20,87.10,29.20,2.30,528.80,517.50,365.10,481.10,332.60,388.50,558.20,33.60,3373.20,136.30,560.30,1696.30,980.30,2929.95,1709.22,Hyper-Pluvial,+15.13,-0.76,+1.097,-0.045,2929.95,2929.95,2929.95,1709.22,+0.00,2929.95,2929.95,404.07,+0.00,4.04,16.61,50.29,29.06,1.085,+10.02,Normal,0
ANDAMAN & NICOBAR ISLANDS,1902,0.00,159.80,12.20,0.00,446.10,537.10,228.90,753.70,666.20,197.20,359.00,160.50,3520.70,159.80,458.30,2185.90,716.70,2929.95,1709.22,Hyper-Pluvial,+20.16,+27.89,+1.462,+1.656,3373.20,2929.95,2929.95,1696.30,+443.25,3373.20,3373.20,404.07,+443.25,4.54,13.02,62.09,20.36,0.539,+14.18,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1903,12.70,144.00,0.00,1.00,235.10,479.90,728.40,326.70,339.00,181.20,284.40,225.00,2957.40,156.70,236.10,1874.00,690.60,2929.95,1709.22,Hyper-Pluvial,+0.94,+9.64,+0.068,+0.572,3520.70,3373.20,2929.95,2185.90,+147.50,3446.95,3446.95,73.75,+517.00,5.30,7.98,63.37,23.35,1.815,+2.02,Normal,0
ANDAMAN & NICOBAR ISLANDS,1904,9.40,14.70,0.00,202.40,304.50,495.10,502.00,160.10,820.40,222.20,308.70,40.10,3079.60,24.10,506.90,1977.60,571.00,2929.95,1709.22,Hyper-Pluvial,+5.11,+15.70,+0.370,+0.932,2957.40,3520.70,3373.20,1874.00,-563.30,3283.77,3283.77,238.50,+353.82,0.78,16.46,64.22,18.54,1.017,+5.25,Normal,0
ANDAMAN & NICOBAR ISLANDS,1905,1.30,0.00,3.30,26.90,279.50,628.70,368.70,330.50,297.00,260.70,25.40,344.70,2566.70,1.30,309.70,1624.90,630.80,2929.95,1709.22,Hyper-Pluvial,-12.40,-4.93,-0.899,-0.293,3079.60,2957.40,3520.70,1977.60,+122.20,3185.90,3232.72,224.67,+302.78,0.05,12.07,63.31,24.58,1.589,+33.66,Normal,0
ANDAMAN & NICOBAR ISLANDS,1906,36.60,0.00,0.00,0.00,556.10,733.30,247.70,320.50,164.30,267.80,128.90,79.20,2534.40,36.60,556.10,1465.80,475.90,2929.95,1709.22,Hyper-Pluvial,-13.50,-14.24,-0.979,-0.846,2566.70,3079.60,2957.40,1624.90,-512.90,2867.90,3099.52,333.70,+169.57,1.44,21.94,57.84,18.78,2.024,+55.89,Normal,0
ANDAMAN & NICOBAR ISLANDS,1907,110.70,0.00,113.30,21.60,616.30,305.20,443.90,377.60,200.40,264.40,648.90,245.60,3347.90,110.70,751.20,1327.10,1158.90,2929.95,1709.22,Hyper-Pluvial,+14.26,-22.36,+1.034,-1.327,2534.40,2566.70,3079.60,1465.80,-32.30,2726.90,2931.76,363.46,+75.38,3.31,22.44,39.64,34.62,1.296,-35.12,Normal,0
ANDAMAN & NICOBAR ISLANDS,1908,20.90,85.10,0.00,29.00,562.00,693.60,481.40,699.90,428.80,170.70,208.10,196.90,3576.40,106.00,591.00,2303.70,575.70,2929.95,1709.22,Hyper-Pluvial,+22.06,+34.78,+1.600,+2.065,3347.90,2534.40,2566.70,1327.10,+813.50,2816.33,2897.20,310.12,+124.32,2.96,16.52,64.41,16.10,1.041,+47.45,Excess (Deluge),0
ANDAMAN & NICOBAR ISLANDS,1910,26.60,22.70,206.30,89.30,224.50,472.70,264.30,337.40,626.60,208.20,267.30,153.50,2899.40,49.30,520.10,1701.00,629.00,2929.95,1709.22,Hyper-Pluvial,-1.04,-0.48,-0.076,-0.029,3576.40,3347.90,2534.40,2303.70,+228.50,3152.90,3021.00,415.20,+189.59,1.70,17.94,58.67,21.69,0.765,+0.49,Normal,0
ANDAMAN & NICOBAR ISLANDS,1911,0.00,8.40,0.00,122.50,327.30,649.00,253.00,187.10,464.50,333.80,94.50,247.10,2687.20,8.40,449.80,1553.60,675.40,2929.95,1709.22,Hyper-Pluvial,-8.29,-9.10,-0.601,-0.541,2899.40,3576.40,3347.90,1701.00,-677.00,3274.57,2984.96,416.36,+165.13,0.31,16.74,57.81,25.13,1.384,+37.97,Normal,0
ANDAMAN & NICOBAR ISLANDS,1912,583.70,0.80,0.00,21.90,140.70,549.80,468.90,370.30,386.20,318.70,117.20,2.30,2960.50,584.50,162.60,1775.20,438.20,2929.95,1709.22,Hyper-Pluvial,+1.04,+3.86,+0.076,+0.229,2687.20,2899.40,3576.40,1553.60,-212.20,3054.33,3009.06,394.36,+124.34,19.74,5.49,59.96,14.80,1.347,+16.88,Normal,0
ANDAMAN & NICOBAR ISLANDS,1913,84.80,0.50,1.30,2.50,190.70,530.00,280.80,205.80,580.10,288.80,133.00,67.50,2365.80,85.30,194.50,1596.70,489.30,2929.95,1709.22,Hyper-Pluvial,-19.25,-6.58,-1.396,-0.391,2960.50,2687.20,2899.40,1775.20,+273.30,2849.03,3094.28,321.98,+83.07,3.61,8.22,67.49,20.68,1.032,+12.67,Deficient (Moderate Drought),1
ANDAMAN & NICOBAR ISLANDS,1914,0.00,0.00,0.00,37.70,298.80,383.30,792.80,520.50,310.80,139.80,184.40,289.70,2957.80,0.00,336.50,2007.40,613.90,2929.95,1709.22,Hyper-Pluvial,+0.95,+17.45,+0.069,+1.036,2365.80,2960.50,2687.20,1596.70,-594.70,2671.17,2897.86,397.95,-32.42,0.00,11.38,67.87,20.76,1.415,-18.51,Normal,0
ANDAMAN & NICOBAR ISLANDS,1915,45.00,56.70,33.30,40.90,170.20,334.70,269.00,317.20,429.80,468.10,258.40,318.00,2741.30,101.70,244.40,1350.70,1044.50,2929.95,1709.22,Hyper-Pluvial,-6.44,-20.98,-0.467,-1.245,2957.80,2365.80,2960.50,2007.40,+592.00,2761.37,2774.14,227.35,-32.38,3.71,8.92,49.27,38.10,0.808,-28.85,Normal,0
ANDAMAN & NICOBAR ISLANDS,1916,0.00,0.00,0.00,0.50,487.40,450.10,317.30,425.00,561.20,369.70,192.60,133.70,2937.50,0.00,487.90,1753.60,696.00,2929.95,1709.22,Hyper-Pluvial,+0.26,+2.60,+0.019,+0.154,2741.30,2957.80,2365.80,1350.70,-216.50,2688.30,2742.52,218.56,-66.21,0.00,16.61,59.70,23.69,0.778,-4.31,Normal,0
ANDAMAN & NICOBAR ISLANDS,1917,8.00,3.60,112.00,4.50,295.90,301.10,394.80,437.40,471.80,238.10,108.30,236.90,2612.40,11.60,412.40,1605.10,583.30,2929.95,1709.22,Hyper-Pluvial,-10.84,-6.09,-0.786,-0.362,2937.50,2741.30,2957.80,1753.60,+196.20,2878.87,2792.58,228.59,-29.13,0.44,15.79,61.44,22.33,0.765,-35.99,Normal,0
ANDAMAN & NICOBAR ISLANDS,1918,77.40,6.90,11.40,10.70,729.30,710.80,200.90,455.40,303.30,227.00,366.90,175.00,3275.00,84.30,751.40,1670.40,768.90,2929.95,1709.22,Hyper-Pluvial,+11.78,-2.27,+0.854,-0.135,2612.40,2937.50,2741.30,1605.10,-325.10,2763.73,2722.96,219.68,-21.33,2.57,22.94,51.00,23.48,1.202,+51.11,Normal,0
ANDAMAN & NICOBAR ISLANDS,1919,10.20,18.00,0.00,35.50,283.90,542.50,246.50,259.80,170.70,186.20,340.40,258.40,2352.10,28.20,319.40,1219.50,785.00,2929.95,1709.22,Hyper-Pluvial,-19.72,-28.65,-1.430,-1.701,3275.00,2612.40,2937.50,1670.40,+662.60,2941.63,2904.80,225.01,-28.62,1.20,13.58,51.85,33.37,1.833,+15.33,Deficient (Moderate Drought),1
ANDAMAN & NICOBAR ISLANDS,1920,122.30,7.40,3.10,13.00,237.40,546.90,294.40,467.40,505.40,397.50,262.90,85.50,2943.20,129.70,253.50,1814.10,745.90,2929.95,1709.22,Hyper-Pluvial,+0.45,+6.14,+0.033,+0.364,2352.10,3275.00,2612.40,1219.50,-922.90,2746.50,2783.66,310.63,-151.05,4.41,8.61,61.64,25.34,0.865,+16.27,Normal,0
